system,team_raw,team_mapped,rating
spplus,Air Force,Air Force,-2.4
spplus,Akron,Akron,-19.5
spplus,Alabama,Alabama,18.2
spplus,Appalachian State,Appalachian State,-12.1
spplus,Arizona,Arizona,10.2
spplus,Arizona State,Arizona State,6.4
spplus,Arkansas,Arkansas,5.0
spplus,Arkansas State,Arkansas State,-8.5
spplus,Army,Army,-3.0
spplus,Auburn,Auburn,11.2
spplus,BYU,BYU,15.5
spplus,Ball State,Ball State,-25.2
spplus,Baylor,Baylor,4.5
spplus,Boise State,Boise State,6.8
spplus,Boston College,Boston College,-1.5
spplus,Bowling Green,Bowling Green,-13.3
spplus,Buffalo,Buffalo,-11.9
spplus,California,California,3.7
spplus,Central Florida,Central Florida,2.3
spplus,Central Michigan,Central Michigan,-12.4
spplus,Charlotte,Charlotte,-32.4
spplus,Cincinnati,Cincinnati,4.5
spplus,Clemson,Clemson,12.8
spplus,Coastal Carolina,Coastal Carolina,-13.8
spplus,Colorado,Colorado,0.9
spplus,Colorado State,Colorado State,-8.3
spplus,Connecticut,Connecticut,-11.2
spplus,Delaware,Delaware,-13.0
spplus,Duke,Duke,5.7
spplus,East Carolina,East Carolina,-2.0
spplus,Eastern Michigan,Eastern Michigan,-15.0
spplus,Florida,Florida,14.9
spplus,Florida Atlantic,Florida Atlantic,-7.1
spplus,Florida International,Florida International,-13.7
spplus,Florida State,Florida State,8.8
spplus,Fresno State,Fresno State,-2.3
spplus,Georgia,Georgia,25.5
spplus,Georgia Southern,Georgia Southern,-8.9
spplus,Georgia State,Georgia State,-25.1
spplus,Georgia Tech,Georgia Tech,6.0
spplus,Hawaii,Hawaii,-3.9
spplus,Houston,Houston,8.2
spplus,Illinois,Illinois,9.3
spplus,Indiana,Indiana,24.5
spplus,Iowa,Iowa,13.6
spplus,Iowa State,Iowa State,1.0
spplus,Jacksonville State,Jacksonville State,-7.7
spplus,James Madison,James Madison,-2.1
spplus,Kansas,Kansas,3.7
spplus,Kansas State,Kansas State,10.4
spplus,Kennesaw State,Kennesaw State,-9.3
spplus,Kent State,Kent State,-20.1
spplus,Kentucky,Kentucky,3.8
spplus,LSU,LSU,20.2
spplus,Liberty,Liberty,-6.4
spplus,Louisiana,Louisiana,-9.1
spplus,Louisiana Tech,Louisiana Tech,-8.3
spplus,Louisville,Louisville,11.0
spplus,Marshall,Marshall,-6.4
spplus,Maryland,Maryland,3.8
spplus,Massachusetts,Massachusetts,-30.9
spplus,Memphis,Memphis,-1.1
spplus,Miami-FL,Miami-FL,21.0
spplus,Miami-OH,Miami-OH,-2.9
spplus,Michigan,Michigan,16.1
spplus,Michigan State,Michigan State,0.4
spplus,Middle Tennessee,Middle Tennessee,-26.0
spplus,Minnesota,Minnesota,5.2
spplus,Mississippi State,Mississippi State,3.9
spplus,Missouri,Missouri,14.8
spplus,Missouri State,Missouri State,-18.7
spplus,NC State,NC State,4.9
spplus,Navy,Navy,1.1
spplus,Nebraska,Nebraska,7.7
spplus,Nevada,Nevada,-12.2
spplus,New Mexico,New Mexico,-0.5
spplus,New Mexico State,New Mexico State,-16.4
spplus,North Carolina,North Carolina,3.8
spplus,North Dakota State,North Dakota State,-1.4
spplus,North Texas,North Texas,-11.8
spplus,Northern Illinois,Northern Illinois,-18.2
spplus,Northwestern,Northwestern,4.6
spplus,Notre Dame,Notre Dame,25.8
spplus,Ohio,Ohio,-13.6
spplus,Ohio State,Ohio State,31.8
spplus,Oklahoma,Oklahoma,17.2
spplus,Oklahoma State,Oklahoma State,7.1
spplus,Old Dominion,Old Dominion,-5.8
spplus,Ole Miss,Ole Miss,15.9
spplus,Oregon,Oregon,28.3
spplus,Oregon State,Oregon State,-6.3
spplus,Penn State,Penn State,15.7
spplus,Pittsburgh,Pittsburgh,6.5
spplus,Purdue,Purdue,-2.9
spplus,Rice,Rice,-14.7
spplus,Rutgers,Rutgers,1.8
spplus,SMU,SMU,10.9
spplus,Sacramento State,Sacramento State,-22.7
spplus,Sam Houston,Sam Houston,-26.3
spplus,San Diego State,San Diego State,-1.3
spplus,San Jose State,San Jose State,-15.5
spplus,South Alabama,South Alabama,-13.3
spplus,South Carolina,South Carolina,12.1
spplus,South Florida,South Florida,-2.8
spplus,Southern Miss,Southern Miss,-23.3
spplus,Stanford,Stanford,-1.9
spplus,Syracuse,Syracuse,-0.7
spplus,TCU,TCU,9.1
spplus,Temple,Temple,-8.7
spplus,Tennessee,Tennessee,16.0
spplus,Texas,Texas,23.7
spplus,Texas A&M,Texas A&M,20.3
spplus,Texas State,Texas State,-5.9
spplus,Texas Tech,Texas Tech,23.1
spplus,Toledo,Toledo,-11.5
spplus,Troy,Troy,-6.0
spplus,Tulane,Tulane,-5.5
spplus,Tulsa,Tulsa,-7.6
spplus,UAB,UAB,-18.1
spplus,UCLA,UCLA,5.1
spplus,UL-Monroe,UL-Monroe,-24.3
spplus,UNLV,UNLV,2.8
spplus,USC,USC,16.8
spplus,UTEP,UTEP,-20.5
spplus,UTSA,UTSA,-1.5
spplus,Utah,Utah,11.9
spplus,Utah State,Utah State,-7.7
spplus,Vanderbilt,Vanderbilt,10.0
spplus,Virginia,Virginia,6.6
spplus,Virginia Tech,Virginia Tech,9.4
spplus,Wake Forest,Wake Forest,3.6
spplus,Washington,Washington,14.5
spplus,Washington State,Washington State,-5.3
spplus,West Virginia,West Virginia,0.8
spplus,Western Kentucky,Western Kentucky,-5.3
spplus,Western Michigan,Western Michigan,-7.2
spplus,Wisconsin,Wisconsin,1.8
spplus,Wyoming,Wyoming,-9.6
